customer_id,first_name,last_name,email,age,income,is_active
1997,Jane,Johnson,jane.johnson@email.com,31,42171.96375836337,True
977,Alice,Smith,john.smith@email.com,40,58760.4519484335,True
1560,Alice,Johnson,john.smith@email.com,62,83275.39578896502,True
9507,Bob,Williams,jane.johnson@email.com,34,35215.271370897855,True
2588,Jane,Williams,jane.johnson@email.com,34,47856.11049677748,True
4402,Bob,Smith,john.smith@email.com,36,40275.654284937526,True
3117,Jane,Johnson,jane.johnson@email.com,41,81859.63588518929,True
5986,Charlie,Johnson,jane.johnson@email.com,31,41321.16801979896,True
6842,Charlie,Brown,jane.johnson@email.com,41,35346.155973923116,True
9656,Alice,Brown,jane.johnson@email.com,18,38434.46172071725,True
6625,Jane,Smith,john.smith@email.com,38,47285.65235363536,True
1561,Jane,Jones,john.smith@email.com,35,34129.89964654779,True
4320,John,Johnson,jane.johnson@email.com,32,42631.00021826607,True
1395,Alice,Jones,jane.johnson@email.com,30,53144.03710194156,False
3046,John,Williams,jane.johnson@email.com,28,47690.53180152534,True
7320,Bob,Smith,john.smith@email.com,26,66634.17153951694,True
2913,Jane,Johnson,jane.johnson@email.com,18,43612.89844370444,False
3043,Charlie,Brown,jane.johnson@email.com,32,45907.669890448225,True
206,Bob,Brown,jane.johnson@email.com,45,55421.23497484527,True
1221,Bob,Williams,jane.johnson@email.com,31,94896.13212021127,True
9699,Alice,Williams,jane.johnson@email.com,41,34247.96179282257,True
651,John,Williams,jane.johnson@email.com,24,88472.48824290559,True
465,Alice,Williams,john.smith@email.com,21,26328.536641109244,True
581,Bob,Smith,jane.johnson@email.com,27,54579.40864460875,True
3746,Jane,Johnson,jane.johnson@email.com,24,43212.27413643606,True
5924,Charlie,Johnson,john.smith@email.com,23,33694.58126956153,False
4952,Bob,Jones,john.smith@email.com,39,63981.847637199775,True
6011,Alice,Williams,john.smith@email.com,52,61997.932674220116,True
8324,Charlie,Jones,john.smith@email.com,28,40375.03732352988,True
344,Alice,Johnson,jane.johnson@email.com,18,20000.0,True
1706,Jane,Jones,john.smith@email.com,41,41599.05070744968,True
5142,John,Brown,john.smith@email.com,20,52784.082219136326,True
4561,Bob,Smith,john.smith@email.com,23,50036.272223893524,True
5467,Jane,Williams,john.smith@email.com,39,65118.705635833045,True
3664,Bob,Brown,john.smith@email.com,33,88670.85258859982,True
1849,Charlie,Jones,jane.johnson@email.com,28,58277.49674501615,True
1834,Jane,Johnson,jane.johnson@email.com,35,61355.36735515249,True
6118,John,Johnson,john.smith@email.com,30,52963.634627582986,True
2922,Jane,Brown,jane.johnson@email.com,53,73448.71564784485,False
5201,Charlie,Jones,jane.johnson@email.com,28,60628.000219206595,False
8661,Jane,Johnson,jane.johnson@email.com,25,64982.11353928647,True
1819,Alice,Smith,john.smith@email.com,30,86179.13658040324,False
6075,John,Jones,jane.johnson@email.com,30,54539.686024386996,True
2124,Jane,Johnson,jane.johnson@email.com,40,44580.75475664523,True
8084,Jane,Williams,john.smith@email.com,18,58925.786960038364,True
7081,John,Jones,jane.johnson@email.com,39,72724.84634238525,True
9488,Bob,Brown,john.smith@email.com,29,60028.535140521635,True
9093,Bob,Brown,john.smith@email.com,42,71212.7715764282,True
7851,Alice,Johnson,jane.johnson@email.com,34,36620.50345366629,True
5248,Jane,Williams,jane.johnson@email.com,40,32638.315491910245,True
